0,1,2,3,4
Kết quả kinh doanh,Quý 4/202201/10-31/12 CKT/HN,Quý 1/202301/01-31/03CKT/HN,Quý 2/202301/04-30/06CKT/HN,Quý 3/202301/07-30/09CKT/CTM
Doanh thu thuần ,"59,100","57,291","43,056","6,886"
Lợi nhuận gộp ,"8,397","6,760","7,396",683
LN thuần từ HĐKD ,"1,858",674,858,738
LNST thu nhập DN ,"1,476",332,681,738
LNST của CĐ cty mẹ ,887,-337,173,738
Cân đối kế toán,Quý 4/202101/10-31/12 CKT/HN,Quý 1/202201/01-31/03CKT/HN,Quý 2/202201/04-30/06CKT/HN,Quý 3/202201/07-30/09CKT/HN
Tài sản ngắn hạn ,"249,953","218,412","217,629","219,450"
Tổng tài sản ,"328,098","295,886","294,102","293,055"
Nợ phải trả ,"97,608","64,756","64,576","62,369"
Nợ ngắn hạn ,"80,218","47,365","49,818","47,611"
Vốn chủ sở hữu ,"230,490","231,131","229,526","230,686"
Chỉ số tài chính,Quý 4/202101/10-31/12 CKT/HN,Quý 1/202201/01-31/03CKT/HN,Quý 2/202201/04-30/06CKT/HN,Quý 3/202201/07-30/09CKT/HN
EPS của 4 quý gần nhất ,30.00,-80.00,-88.00,-68.00
BVPS cơ bản ,"11,524.00","11,557.00","11,476.00","11,534.00"
P/E cơ bản ,297.24,-186.89,-87.81,-108.70
ROS ,-0.58,0.44,-2.39,3.48
ROEA ,-0.39,-0.05,-0.44,0.28
ROAA ,-0.26,-0.03,-0.34,0.22
Kết quả kinh doanh,Quý 4/202201/10-31/12 CKT/HN,Quý 1/202301/01-31/03CKT/HN,Quý 2/202301/04-30/06CKT/HN,Quý 3/202301/07-30/09CKT/CTM
Doanh thu thuần ,"59,100","57,291","43,056","6,886"
Lợi nhuận gộp ,"8,397","6,760","7,396",683
LN thuần từ HĐKD ,"1,858",674,858,738
LNST thu nhập DN ,"1,476",332,681,738
LNST của CĐ cty mẹ ,887,-337,173,738
Cân đối kế toán,Quý 4/202201/10-31/12 CKT/HN,Quý 1/202301/01-31/03CKT/HN,Quý 2/202301/04-30/06CKT/HN,Quý 3/202301/07-30/09CKT/CTM
Tài sản ngắn hạn ,"227,362","219,130","201,785","151,453"
Tổng tài sản ,"310,139","305,187","287,118","242,283"
Nợ phải trả ,"78,027","74,428","59,394","39,115"
Nợ ngắn hạn ,"65,201","61,603","48,279","28,000"
Vốn chủ sở hữu ,"232,112","230,759","227,725","203,169"
Chỉ số tài chính,Quý 4/202201/10-31/12 CKT/HN,Quý 1/202301/01-31/03CKT/HN,Quý 2/202301/04-30/06CKT/HN,Quý 3/202301/07-30/09CKT/CTM
EPS của 4 quý gần nhất ,21.00,9.00,69.00,73.00
BVPS cơ bản ,"11,606.00","11,538.00","11,386.00","10,158.00"
P/E cơ bản ,227.05,425.84,80.21,72.55
ROS ,2.50,0.58,1.58,10.72
ROEA ,0.64,0.14,0.30,0.34
ROAA ,0.29,-0.11,0.06,0.28
