0,1,2,3,4
Kết quả kinh doanh,Quý 3/202201/07-30/09 CKT/HN,Quý 4/202201/10-31/12CKT/HN,Quý 1/202301/01-31/03CKT/HN,Quý 2/202301/04-30/06CKT/HN
Thu nhập lãi thuần ,"14,098,425","14,532,344","13,936,193","13,806,993"
Chi phí hoạt động ,"5,452,199","7,577,716","4,831,771","6,370,229"
Tổng TNTT ,"6,673,383","5,380,885","6,919,579","6,942,823"
Tổng LNST ,"5,354,232","4,261,784","5,559,041","5,557,162"
LNST của CĐ Ngân hàng mẹ ,"5,277,956","4,186,385","5,468,480","5,425,578"
Cân đối kế toán,Quý 3/202101/07-30/09 CKT/HN,Quý 4/202101/10-31/12CKT/HN,Quý 1/202201/01-31/03CKT/HN,Quý 2/202201/04-30/06CKT/HN
Tổng tài sản ,"1,686,678,164","1,761,938,950","1,847,704,434","1,979,416,229"
"- Tiền, vàng gửi và cho vay các TCTD ","115,503,372","135,940,238","163,893,889","216,987,172"
- Cho vay khách hàng ,"1,298,625,215","1,325,577,562","1,382,262,545","1,443,296,463"
Nợ phải trả ,"1,600,659,921","1,675,572,305","1,757,866,709","1,885,428,566"
- Tiền gửi và vay các TCTD ,"111,856,972","98,003,606","128,450,020","208,128,128"
- Tiền gửi của khách hàng ,"1,309,952,776","1,380,401,585","1,396,301,169","1,406,297,004"
Vốn và các quỹ ,"86,018,243","86,366,645","89,837,725","93,987,663"
- Vốn của TCTD ,"54,780,413","65,145,472","65,145,472","65,145,472"
- Lợi nhuận chưa phân phối ,"20,131,244","10,269,320","12,262,506","16,392,697"
Chỉ số tài chính,Quý 3/202101/07-30/09 CKT/HN,Quý 4/202101/10-31/12CKT/HN,Quý 1/202201/01-31/03CKT/HN,Quý 2/202201/04-30/06CKT/HN
EPS của 4 quý gần nhất ,"2,497.00","2,636.00","2,703.00","2,883.00"
BVPS cơ bản ,"21,387.00","17,073.00","17,760.00","18,580.00"
P/E cơ bản ,15.80,14.08,16.09,11.62
ROEA ,2.40,2.57,4.05,5.67
ROAA ,0.12,0.13,0.20,0.27
Kết quả kinh doanh,Quý 3/202201/07-30/09 CKT/HN,Quý 4/202201/10-31/12CKT/HN,Quý 1/202301/01-31/03CKT/HN,Quý 2/202301/04-30/06CKT/HN
Thu nhập lãi thuần ,"14,098,425","14,532,344","13,936,193","13,806,993"
Chi phí hoạt động ,"5,452,199","7,577,716","4,831,771","6,370,229"
Tổng TNTT ,"6,673,383","5,380,885","6,919,579","6,942,823"
Tổng LNST ,"5,354,232","4,261,784","5,559,041","5,557,162"
LNST của CĐ Ngân hàng mẹ ,"5,277,956","4,186,385","5,468,480","5,425,578"
Cân đối kế toán,Quý 3/202201/07-30/09 CKT/HN,Quý 4/202201/10-31/12CKT/HN,Quý 1/202301/01-31/03CKT/HN,Quý 2/202301/04-30/06CKT/HN
Tổng tài sản ,"2,048,952,718","2,120,527,692","2,106,864,549","2,124,802,899"
"- Tiền, vàng gửi và cho vay các TCTD ","259,681,711","221,146,701","174,793,284","199,683,000"
- Cho vay khách hàng ,"1,451,882,428","1,484,030,778","1,554,793,891","1,589,448,060"
Nợ phải trả ,"1,948,027,658","2,016,322,127","1,997,016,087","2,010,633,562"
- Tiền gửi và vay các TCTD ,"199,716,316","178,797,484","146,847,411","191,572,674"
- Tiền gửi của khách hàng ,"1,414,224,009","1,473,604,981","1,497,395,473","1,545,569,148"
Vốn và các quỹ ,"100,925,060","104,205,565","109,848,462","114,169,337"
- Vốn của TCTD ,"66,204,497","66,204,497","66,204,497","66,204,497"
- Lợi nhuận chưa phân phối ,"20,593,079","24,321,599","27,028,393","31,427,653"
Chỉ số tài chính,Quý 3/202201/07-30/09 CKT/HN,Quý 4/202201/10-31/12CKT/HN,Quý 1/202301/01-31/03CKT/HN,Quý 2/202301/04-30/06CKT/HN
EPS của 4 quý gần nhất ,"3,397.00","3,608.00","3,983.00","4,025.00"
BVPS cơ bản ,"19,951.00","20,600.00","21,716.00","22,570.00"
P/E cơ bản ,9.98,10.70,11.60,10.77
ROEA ,5.42,4.08,5.11,4.84
ROAA ,0.26,0.20,0.26,0.26
