0,1,2,3,4
Kết quả kinh doanh,Quý 3/202201/07-30/09 CKT/HN,Quý 4/202201/10-31/12CKT/HN,Quý 1/202301/01-31/03CKT/HN,Quý 2/202301/04-30/06CKT/HN
Thu nhập lãi thuần ,"13,663,951","14,809,469","14,202,946","14,020,581"
Chi phí hoạt động ,"6,370,005","4,564,916","5,274,254","5,656,105"
Tổng TNTT ,"7,566,222","12,419,095","11,221,344","9,277,682"
Tổng LNST ,"6,069,444","9,933,519","8,991,901","7,427,958"
LNST của CĐ Ngân hàng mẹ ,"6,064,870","9,928,277","8,986,435","7,422,823"
Cân đối kế toán,Quý 3/202101/07-30/09 CKT/HN,Quý 4/202101/10-31/12CKT/HN,Quý 1/202201/01-31/03CKT/HN,Quý 2/202201/04-30/06CKT/HN
Tổng tài sản ,"1,385,235,404","1,414,765,480","1,462,748,158","1,602,391,727"
"- Tiền, vàng gửi và cho vay các TCTD ","204,916,285","225,394,684","194,999,348","255,548,453"
- Cho vay khách hàng ,"909,910,950","934,774,287","997,707,933","1,066,990,245"
Nợ phải trả ,"1,275,708,552","1,303,594,825","1,345,670,470","1,479,402,030"
- Tiền gửi và vay các TCTD ,"106,138,767","109,757,777","81,277,695","171,676,891"
- Tiền gửi của khách hàng ,"1,108,418,876","1,135,323,913","1,179,668,881","1,195,391,576"
Vốn và các quỹ ,"109,526,852","111,170,655","117,077,688","122,989,697"
- Vốn của TCTD ,"42,428,821","42,428,821","52,665,213","52,665,213"
- Lợi nhuận chưa phân phối ,"52,084,482","87,113","46,156,897","52,056,550"
Chỉ số tài chính,Quý 3/202101/07-30/09 CKT/HN,Quý 4/202101/10-31/12CKT/HN,Quý 1/202201/01-31/03CKT/HN,Quý 2/202201/04-30/06CKT/HN
EPS của 4 quý gần nhất ,"5,694.00","5,906.00","5,837.00","5,956.00"
BVPS cơ bản ,"29,531.00","29,974.00","24,739.00","25,988.00"
P/E cơ bản ,17.07,13.34,14.07,12.56
ROEA ,4.28,5.85,7.04,4.95
ROAA ,0.34,0.46,0.55,0.39
Kết quả kinh doanh,Quý 3/202201/07-30/09 CKT/HN,Quý 4/202201/10-31/12CKT/HN,Quý 1/202301/01-31/03CKT/HN,Quý 2/202301/04-30/06CKT/HN
Thu nhập lãi thuần ,"13,663,951","14,809,469","14,202,946","14,020,581"
Chi phí hoạt động ,"6,370,005","4,564,916","5,274,254","5,656,105"
Tổng TNTT ,"7,566,222","12,419,095","11,221,344","9,277,682"
Tổng LNST ,"6,069,444","9,933,519","8,991,901","7,427,958"
LNST của CĐ Ngân hàng mẹ ,"6,064,870","9,928,277","8,986,435","7,422,823"
Cân đối kế toán,Quý 3/202201/07-30/09 CKT/HN,Quý 4/202201/10-31/12CKT/HN,Quý 1/202301/01-31/03CKT/HN,Quý 2/202301/04-30/06CKT/HN
Tổng tài sản ,"1,649,664,327","1,814,188,209","1,846,431,290","1,704,273,133"
"- Tiền, vàng gửi và cho vay các TCTD ","302,927,159","313,591,813","334,747,844","286,406,768"
- Cho vay khách hàng ,"1,093,971,420","1,120,286,831","1,142,187,065","1,139,981,404"
Nợ phải trả ,"1,521,274,777","1,676,199,767","1,701,772,932","1,552,272,005"
- Tiền gửi và vay các TCTD ,"179,758,633","232,510,850","255,334,468","160,661,447"
- Tiền gửi của khách hàng ,"1,197,150,901","1,243,468,472","1,281,487,916","1,326,853,836"
Vốn và các quỹ ,"128,389,550","137,988,442","144,658,358","152,001,128"
- Vốn của TCTD ,"53,130,392","53,130,392","53,130,392","53,130,392"
- Lợi nhuận chưa phân phối ,"102,207","67,499,703","93,744","77,094,650"
Chỉ số tài chính,Quý 3/202201/07-30/09 CKT/HN,Quý 4/202201/10-31/12CKT/HN,Quý 1/202301/01-31/03CKT/HN,Quý 2/202301/04-30/06CKT/HN
EPS của 4 quý gần nhất ,"5,936.00","6,333.00","6,533.00","6,847.00"
BVPS cơ bản ,"27,129.00","29,158.00","30,567.00","32,118.00"
P/E cơ bản ,12.33,12.63,13.99,14.61
ROEA ,4.83,7.45,6.41,5.00
ROAA ,0.37,0.57,0.49,0.42
